,date,hour,holiday,weekday,count
377,2018-01-16,20,No,Tuesday,253
378,2018-01-16,21,No,Tuesday,165
379,2018-01-16,22,No,Tuesday,101
380,2018-01-16,23,No,Tuesday,62
381,2018-01-17,0,No,Wednesday,9
382,2018-01-17,1,No,Wednesday,11
383,2018-01-17,2,No,Wednesday,4
384,2018-01-17,3,No,Wednesday,5
385,2018-01-17,4,No,Wednesday,6
386,2018-01-17,5,No,Wednesday,51
387,2018-01-17,6,No,Wednesday,96
388,2018-01-17,7,No,Wednesday,266
389,2018-01-17,8,No,Wednesday,491
390,2018-01-17,9,No,Wednesday,263
391,2018-01-17,10,No,Wednesday,125
392,2018-01-17,11,No,Wednesday,126
393,2018-01-17,12,No,Wednesday,158
394,2018-01-17,13,No,Wednesday,138
395,2018-01-17,14,No,Wednesday,122
396,2018-01-17,15,No,Wednesday,176
397,2018-01-17,16,No,Wednesday,346
398,2018-01-17,17,No,Wednesday,612
399,2018-01-17,18,No,Wednesday,502
400,2018-01-17,19,No,Wednesday,257
401,2018-01-17,20,No,Wednesday,166
402,2018-01-17,21,No,Wednesday,101
403,2018-01-17,22,No,Wednesday,50
404,2018-01-17,23,No,Wednesday,27
405,2018-01-18,0,No,Thursday,12
406,2018-01-18,1,No,Thursday,2
407,2018-01-18,2,No,Thursday,3
408,2018-01-18,3,No,Thursday,1
409,2018-01-18,4,No,Thursday,7
410,2018-01-18,5,No,Thursday,56
411,2018-01-18,6,No,Thursday,171
412,2018-01-18,7,No,Thursday,419
413,2018-01-18,8,No,Thursday,746
414,2018-01-18,9,No,Thursday,426
415,2018-01-18,10,No,Thursday,170
416,2018-01-18,11,No,Thursday,187
417,2018-01-18,12,No,Thursday,269
418,2018-01-18,13,No,Thursday,244
419,2018-01-18,14,No,Thursday,205
420,2018-01-18,15,No,Thursday,296
421,2018-01-18,16,No,Thursday,482
422,2018-01-18,17,No,Thursday,836
423,2018-01-18,18,No,Thursday,647
424,2018-01-18,19,No,Thursday,416
425,2018-01-18,20,No,Thursday,285
426,2018-01-18,21,No,Thursday,164
427,2018-01-18,22,No,Thursday,106
428,2018-01-18,23,No,Thursday,47
429,2018-01-19,0,No,Friday,26
430,2018-01-19,1,No,Friday,9
431,2018-01-19,2,No,Friday,4
432,2018-01-19,3,No,Friday,5
433,2018-01-19,4,No,Friday,11
434,2018-01-19,5,No,Friday,55
435,2018-01-19,6,No,Friday,182
436,2018-01-19,7,No,Friday,433
437,2018-01-19,8,No,Friday,886
438,2018-01-19,9,No,Friday,480
439,2018-01-19,10,No,Friday,220
440,2018-01-19,11,No,Friday,321
441,2018-01-19,12,No,Friday,399
442,2018-01-19,13,No,Friday,394
443,2018-01-19,14,No,Friday,340
444,2018-01-19,15,No,Friday,489
445,2018-01-19,16,No,Friday,701
446,2018-01-19,17,No,Friday,951
447,2018-01-19,18,No,Friday,680
448,2018-01-19,19,No,Friday,399
449,2018-01-19,20,No,Friday,212
450,2018-01-19,21,No,Friday,183
451,2018-01-19,22,No,Friday,130
452,2018-01-19,23,No,Friday,94
453,2018-01-20,0,No,Saturday,70
454,2018-01-20,1,No,Saturday,44
455,2018-01-20,2,No,Saturday,26
456,2018-01-20,3,No,Saturday,21
457,2018-01-20,4,No,Saturday,4
458,2018-01-20,5,No,Saturday,12
459,2018-01-20,6,No,Saturday,17
460,2018-01-20,7,No,Saturday,66
461,2018-01-20,8,No,Saturday,172
462,2018-01-20,9,No,Saturday,292
463,2018-01-20,10,No,Saturday,497
464,2018-01-20,11,No,Saturday,692
465,2018-01-20,12,No,Saturday,756
466,2018-01-20,13,No,Saturday,823
467,2018-01-20,14,No,Saturday,871
468,2018-01-20,15,No,Saturday,917
469,2018-01-20,16,No,Saturday,874
470,2018-01-20,17,No,Saturday,636
471,2018-01-20,18,No,Saturday,371
472,2018-01-20,19,No,Saturday,288
473,2018-01-20,20,No,Saturday,195
474,2018-01-20,21,No,Saturday,129
475,2018-01-20,22,No,Saturday,156
476,2018-01-20,23,No,Saturday,104
477,2018-01-21,0,No,Sunday,84
478,2018-01-21,1,No,Sunday,81
479,2018-01-21,2,No,Sunday,51
480,2018-01-21,3,No,Sunday,21
481,2018-01-21,4,No,Sunday,10
482,2018-01-21,5,No,Sunday,5
483,2018-01-21,6,No,Sunday,17
484,2018-01-21,7,No,Sunday,55
485,2018-01-21,8,No,Sunday,145
486,2018-01-21,9,No,Sunday,241
487,2018-01-21,10,No,Sunday,462
488,2018-01-21,11,No,Sunday,546
489,2018-01-21,12,No,Sunday,576
490,2018-01-21,13,No,Sunday,615
491,2018-01-21,14,No,Sunday,801
492,2018-01-21,15,No,Sunday,711
493,2018-01-21,16,No,Sunday,565
494,2018-01-21,17,No,Sunday,438
495,2018-01-21,18,No,Sunday,385
496,2018-01-21,19,No,Sunday,209
497,2018-01-21,20,No,Sunday,173
498,2018-01-21,21,No,Sunday,177
499,2018-01-21,22,No,Sunday,114
500,2018-01-21,23,No,Sunday,60
501,2018-01-22,0,No,Monday,30
502,2018-01-22,1,No,Monday,8
503,2018-01-22,2,No,Monday,10
504,2018-01-22,3,No,Monday,9
505,2018-01-22,4,No,Monday,12
506,2018-01-22,5,No,Monday,65
507,2018-01-22,6,No,Monday,259
508,2018-01-22,7,No,Monday,641
509,2018-01-22,8,No,Monday,1100
510,2018-01-22,9,No,Monday,514
511,2018-01-22,10,No,Monday,287
512,2018-01-22,11,No,Monday,383
513,2018-01-22,12,No,Monday,432
514,2018-01-22,13,No,Monday,468
515,2018-01-22,14,No,Monday,388
516,2018-01-22,15,No,Monday,529
517,2018-01-22,16,No,Monday,731
518,2018-01-22,17,No,Monday,1215
519,2018-01-22,18,No,Monday,919
520,2018-01-22,19,No,Monday,574
521,2018-01-22,20,No,Monday,373
522,2018-01-22,21,No,Monday,238
523,2018-01-22,22,No,Monday,136
524,2018-01-22,23,No,Monday,64
525,2018-01-23,0,No,Tuesday,27
526,2018-01-23,1,No,Tuesday,9
527,2018-01-23,2,No,Tuesday,20
528,2018-01-23,3,No,Tuesday,4
529,2018-01-23,4,No,Tuesday,8
530,2018-01-23,5,No,Tuesday,47
